Time,IL1,IL2,Rede,Vbus11,Vpv,HIL0 digital input 19,HIL0 digital input 15,HIL0 digital input 18,HIL0 digital input 14,HIL0 digital input 28
0.0196,0.34061134,1.6178591,287.55814,418.98132,22.586397,0.0,0.0,0.0,0.0,1.0
0.0197,-1.1111052,1.6381118,286.9893,418.5959,22.596987,0.0,0.0,0.0,0.0,1.0
0.0198,-1.5274128,1.632005,286.98517,418.16327,22.60705,1.0,1.0,0.0,0.0,1.0
0.0199,-1.2209225,1.6098992,287.78967,417.7892,22.616617,1.0,1.0,0.0,0.0,1.0
0.02,-0.6949252,1.5846858,289.44897,417.30023,22.625645,1.0,1.0,0.0,0.0,1.0
0.0201,-0.6213351,1.5815778,291.73395,416.79816,22.634064,1.0,1.0,0.0,0.0,1.0
0.0202,-0.32765514,1.539095,294.1333,416.3741,22.641851,1.0,1.0,0.0,0.0,1.0
0.0203,-0.041405223,1.4788343,295.93225,415.91507,22.649376,1.0,1.0,0.0,0.0,1.0
0.0204,-0.3526267,1.4752793,296.36542,415.34573,22.656225,1.0,1.0,0.0,0.0,1.0
0.0205,-0.11175366,1.5039304,294.8071,414.96765,22.66264,1.0,1.0,0.0,0.0,1.0
0.0206,0.21701212,1.5386584,290.94754,414.58234,22.66869,1.0,1.0,0.0,0.0,1.0
0.0207,0.11902778,1.5820041,284.9012,414.31677,22.67455,1.0,1.0,0.0,0.0,1.0
0.0208,0.14043275,1.5960256,277.21005,414.13193,22.68006,1.0,1.0,0.0,0.0,1.0
0.0209,0.31214088,1.5425472,268.73145,414.1475,22.685411,1.0,1.0,0.0,0.0,1.0
0.021,0.6581139,1.4915928,260.43442,413.95825,22.69073,1.0,1.0,0.0,0.0,1.0
0.0211,0.6380396,1.4293823,253.15485,414.03815,22.696167,1.0,1.0,0.0,0.0,1.0
0.0212,1.2799463,1.3562087,247.37506,413.88794,22.70124,1.0,1.0,0.0,0.0,1.0
0.0213,1.1520102,1.3010412,243.08958,413.98138,22.706083,1.0,1.0,0.0,0.0,1.0
0.0214,1.8072543,1.2290081,239.79713,413.86615,22.710503,1.0,1.0,0.0,0.0,1.0
0.0215,1.7934428,1.2082622,236.62422,413.86035,22.714638,1.0,1.0,0.0,0.0,1.0
0.0216,2.1667125,1.1624279,232.55006,413.9105,22.718634,1.0,1.0,0.0,0.0,1.0
0.0217,2.1404216,1.1566304,226.6729,413.9602,22.722368,1.0,1.0,0.0,0.0,1.0
0.0218,2.6516263,1.1237631,218.44547,414.18045,22.726019,1.0,1.0,0.0,0.0,1.0
0.0219,2.896327,1.1124129,207.81592,414.3591,22.729216,1.0,1.0,0.0,0.0,1.0
0.022,3.2226968,1.0970918,195.23557,414.67487,22.731895,1.0,1.0,0.0,0.0,1.0
0.0221,3.748,1.0435083,181.5328,415.03714,22.734516,1.0,1.0,0.0,0.0,1.0
0.0222,4.3358397,0.98104644,167.68893,415.41867,22.737312,1.0,1.0,0.0,0.0,1.0
