Time,IL2,Rede,Bus,HIL0 digital input 29
0.033503,1.6498607,311.03253,400.0,1
0.033504,1.6482385,311.0299,400.0,1
0.033505,1.6468709,311.02695,400.0,1
0.033506,1.6460528,311.02365,400.0,1
0.033507,1.6460146,311.02032,400.0,1
0.033508,1.646932,311.01703,400.0,1
0.033509,1.6488582,311.01367,400.0,1
0.03351,1.6502646,311.01038,400.0,1
0.033511,1.6500453,311.00705,400.0,1
0.033512,1.6487963,311.00372,400.0,1
0.033513,1.6470681,311.0004,400.0,1
0.033514,1.6453068,310.9971,400.0,1
0.033515,1.6438704,310.9938,400.0,1
0.033516,1.6430418,310.99045,400.0,1
0.033517,1.6430417,310.98715,400.0,1
0.033518,1.6440374,310.98383,400.0,1
0.033519,1.646059,310.98053,400.0,1
0.03352,1.6474727,310.97717,400.0,1
0.033521,1.6472591,310.97388,400.0,1
0.033522,1.6460675,310.96988,400.0,1
0.033523,1.6444392,310.96588,400.0,1
0.033524,1.6428125,310.96185,400.0,1
0.033525,1.6415385,310.95776,400.0,1
0.033526,1.6408947,310.95374,400.0,1
0.033527,1.6410967,310.94965,400.0,1
0.033528,1.6423078,310.94562,400.0,1
0.033529,1.6445302,310.94153,400.0,1
0.03353,1.6460629,310.9375,400.0,1
0.033531,1.6459476,310.9335,400.0,1
0.033532,1.644887,310.92938,400.0,1
0.033533,1.6434152,310.92535,400.0,1
0.033534,1.641965,310.9213,400.0,1
0.033535,1.6408824,310.91727,400.0,1
0.033536,1.6404408,310.91318,400.0,1
0.033537,1.6408523,310.90915,400.0,1
0.033538,1.642277,310.9049,400.0,1
0.033539,1.6446937,310.90015,400.0,1
0.03354,1.6463777,310.8954,400.0,1
0.033541,1.6463919,310.89056,400.0,1
0.033542,1.6454748,310.8858,400.0,1
0.033543,1.6441567,310.88098,400.0,1
0.033544,1.6428664,310.87622,400.0,1
0.033545,1.6419469,310.87137,400.0,1
0.033546,1.6416693,310.86664,400.0,1
0.033547,1.642243,310.86188,400.0,1
0.033548,1.6438265,310.85706,400.0,1
0.033549,1.646359,310.8523,400.0,1
0.03355,1.6481172,310.84747,400.0,1
0.033551,1.6481608,310.84268,400.0,1
0.033552,1.6472898,310.83786,400.0,1
0.033553,1.6460296,310.8331,400.0,1
0.033554,1.6448053,310.82828,400.0,1
0.033555,1.6439568,310.82312,400.0,1
0.033556,1.643752,310.81763,400.0,1
0.033557,1.6443986,310.81207,400.0,1
0.033558,1.6460527,310.80658,400.0,1
0.033559,1.648606,310.801,400.0,1
0.03356,1.6503819,310.79553,400.0,1
0.033561,1.6503857,310.78995,400.0,1
0.033562,1.6494896,310.78445,400.0,1
0.033563,1.6482152,310.77896,400.0,1
0.033564,1.6469841,310.7734,400.0,1
0.033565,1.6461334,310.7679,400.0,1
0.033566,1.645929,310.76233,400.0,1
0.033567,1.6465763,310.75687,400.0,1
0.033568,1.6482302,310.75128,400.0,1
0.033569,1.6507455,310.7458,400.0,1
0.03357,1.6525046,310.74023,400.0,1
0.033571,1.6524425,310.73474,400.0,1
0.033572,1.6514884,310.72864,400.0,1
0.033573,1.6501617,310.7223,400.0,1
0.033574,1.648882,310.7161,400.0,1
0.033575,1.6479847,310.70978,400.0,1
0.033576,1.6477344,310.70355,400.0,1
0.033577,1.6483357,310.69724,400.0,1
0.033578,1.6499426,310.691,400.0,1
0.033579,1.6523491,310.6847,400.0,1
0.03358,1.6540699,310.6785,400.0,1
0.033581,1.6538811,310.67224,400.0,1
0.033582,1.6528141,310.66595,400.0,1
0.033583,1.6513854,310.65973,400.0,1
0.033584,1.6500124,310.6534,400.0,1
0.033585,1.6490289,310.6472,400.0,1
0.033586,1.648698,310.64087,400.0,1
0.033587,1.6492229,310.63464,400.0,1
0.033588,1.6507568,310.6283,400.0,1
0.033589,1.6530238,310.62125,400.0,1
0.03359,1.6547275,310.6143,400.0,1
0.033591,1.6544111,310.6072,400.0,1
0.033592,1.653231,310.60028,400.0,1
0.033593,1.6517015,310.5932,400.0,1
0.033594,1.6502379,310.58627,400.0,1
0.033595,1.6491725,310.57922,400.0,1
0.033596,1.6487671,310.57227,400.0,1
0.033597,1.6492239,310.5652,400.0,1
0.033598,1.6506952,310.55826,400.0,1
0.033599,1.6527213,310.5513,400.0,1
0.0336,1.6537224,310.54425,400.0,1
0.033601,1.6528791,310.5373,400.0,1
0.033602,1.6513509,310.53024,400.0,1
0.033603,1.6496202,310.52332,400.0,1
0.033604,1.648076,310.51624,400.0,1
0.033605,1.6470284,310.50888,400.0,1
0.033606,1.6467198,310.50122,400.0,1
0.033607,1.6473366,310.4934,400.0,1
0.033608,1.6488998,310.48572,400.0,1
0.033609,1.6511455,310.47794,400.0,1
0.03361,1.6519362,310.47028,400.0,1
0.033611,1.6513237,310.46246,400.0,1
0.033612,1.6499964,310.45477,400.0,1
0.033613,1.6484417,310.44696,400.0,1
0.033614,1.6470523,310.4393,400.0,1
0.033615,1.6461412,310.4316,400.0,1
0.033616,1.645954,310.42383,400.0,1
0.033617,1.6466792,310.41614,400.0,1
0.033618,1.6482106,310.40836,400.0,1
0.033619,1.6504798,310.40067,400.0,1
0.03362,1.6513281,310.39285,400.0,1
0.033621,1.6506627,310.3852,400.0,1
0.033622,1.6493057,310.37686,400.0,1
0.033623,1.647741,310.36832,400.0,1
0.033624,1.6463578,310.35992,400.0,1
0.033625,1.6454664,310.35138,400.0,1
0.033626,1.6453102,310.343,400.0,1
0.033627,1.6460752,310.3344,400.0,1
0.033628,1.647564,310.32602,400.0,1
0.033629,1.6498438,310.31747,400.0,1
0.03363,1.6507496,310.30905,400.0,1
0.033631,1.6500691,310.30066,400.0,1
0.033632,1.6487174,310.2921,400.0,1
0.033633,1.6471744,310.2837,400.0,1
0.033634,1.6458265,310.27515,400.0,1
0.033635,1.6449811,310.26672,400.0,1
0.033636,1.6448795,310.2582,400.0,1
0.033637,1.6457059,310.2498,400.0,1
0.033638,1.64712,310.24124,400.0,1
0.033639,1.6494092,310.23193,400.0,1
0.03364,1.65041,310.2228,400.0,1
0.033641,1.6497012,310.21353,400.0,1
0.033642,1.6483456,310.20438,400.0,1
0.033643,1.6468184,310.19513,400.0,1
0.033644,1.6455027,310.18597,400.0,1
0.033645,1.6447023,310.1767,400.0,1
0.033646,1.6446557,310.16757,400.0,1
0.033647,1.645545,310.15826,400.0,1
0.033648,1.6468778,310.14914,400.0,1
0.033649,1.6491823,310.14,400.0,1
0.03365,1.6503131,310.1307,400.0,1
0.033651,1.6495918,310.12158,400.0,1
0.033652,1.6482447,310.1123,400.0,1
0.033653,1.6467432,310.10315,400.0,1
0.033654,1.6454664,310.09387,400.0,1
0.033655,1.6447157,310.08432,400.0,1
0.033656,1.6447264,310.07446,400.0,1
0.033657,1.645679,310.06442,400.0,1
0.033658,1.6469675,310.05457,400.0,1
0.033659,1.649306,310.04456,400.0,1
0.03366,1.6505702,310.0347,400.0,1
0.033661,1.6498674,310.02466,400.0,1
0.033662,1.6485503,310.0148,400.0,1
0.033663,1.6470875,310.00476,400.0,1
0.033664,1.6458558,309.9949,400.0,1
0.033665,1.6451546,309.98502,400.0,1
0.033666,1.6452178,309.975,400.0,1
0.033667,1.6462244,309.96512,400.0,1
0.033668,1.647408,309.9551,400.0,1
0.033669,1.6497505,309.94525,400.0,1
0.03367,1.651177,309.9352,400.0,1
0.033671,1.6504562,309.92535,400.0,1
0.033672,1.6491343,309.91486,400.0,1
0.033673,1.6476771,309.90408,400.0,1
0.033674,1.6464589,309.8935,400.0,1
0.033675,1.6457772,309.88272,400.0,1
