Time,IL1,IL2,Rede,Vbus11,Vpv
0.01684,-1.612732,0.8397247,337.15808,437.31094,22.423042
0.01686,0.023152048,0.8129746,337.79315,437.5063,22.42101
0.01688,0.6394628,0.81514615,338.3847,437.115,22.418959
0.0169,-0.80986446,0.87540233,338.93472,436.89777,22.416862
0.01692,-1.4173026,0.89545214,339.44025,437.0576,22.414675
0.01694,-0.6568703,0.85498005,339.9082,437.244,22.41246
0.01696,0.8385007,0.81908154,340.34174,437.03085,22.41029
0.01698,0.14300689,0.84522927,340.7425,436.72766,22.408129
0.017,-0.675799,0.87466186,341.11252,436.69037,22.405867
0.01702,-0.51589,0.8632026,341.45004,436.82776,22.403635
0.01704,0.78721035,0.8408262,341.76047,436.68494,22.401451
0.01706,0.41163683,0.8614633,342.0462,436.44388,22.399141
0.01708,-0.5898523,0.8821882,342.3085,436.4441,22.396702
0.0171,-0.15571989,0.85449535,342.54877,436.60953,22.394257
0.01712,0.9717697,0.8208537,342.7656,436.4601,22.391817
0.01714,0.866098,0.83135855,342.9626,436.20267,22.38941
0.01716,0.17924832,0.8593142,343.14114,436.09113,22.38699
0.01718,-0.019525867,0.8619446,343.30173,436.18784,22.38456
0.0172,0.76654303,0.8434629,343.44498,436.1386,22.382044
0.01722,0.5591711,0.8350924,343.56912,436.06876,22.379414
0.01724,0.62981457,0.8216469,343.67645,436.02005,22.376656
0.01726,0.82262534,0.8062254,343.7674,435.98773,22.373884
0.01728,1.1221818,0.80447173,343.84195,435.81393,22.371069
0.0173,0.66291463,0.814974,343.90012,435.7631,22.368164
0.01732,0.58507633,0.80615175,343.9395,435.799,22.365139
0.01734,0.92758757,0.781185,343.9621,435.83124,22.362085
0.01736,1.3958373,0.7658479,343.96793,435.68683,22.35899
0.01738,1.0651306,0.7688363,343.95685,435.60864,22.355856
0.0174,0.98847955,0.76393044,343.9288,435.6041,22.352736
0.01742,1.376758,0.7553233,343.88153,435.56726,22.349638
0.01744,1.5853441,0.76416016,343.8173,435.40775,22.346571
0.01746,1.1322974,0.78284997,343.73642,435.35474,22.343468
0.01748,1.086526,0.7816958,343.63928,435.40335,22.340244
0.0175,1.4870712,0.76392514,343.5265,435.44336,22.336985
0.01752,1.7212151,0.75672746,343.39676,435.32025,22.333712
0.01754,1.4831711,0.7572129,343.25314,435.27548,22.330387
0.01756,1.6187714,0.7494136,343.0967,435.2558,22.32698
0.01758,1.7623311,0.74207556,342.9289,435.2402,22.323536
0.0176,1.9368123,0.7455021,342.75125,435.12384,22.319992
0.01762,1.6375868,0.7520181,342.5647,435.10822,22.316294
0.01764,1.5718503,0.73839873,342.37268,435.1843,22.311157
0.01766,1.8948938,0.70681465,342.17712,435.2549,22.305231
0.01768,2.614038,0.6912879,341.9806,435.06705,22.299314
0.0177,2.1302123,0.70602185,341.78568,434.931,22.29333
0.01772,1.6248988,0.70834374,341.59592,435.0224,22.287312
0.01774,1.9816362,0.67889977,341.4142,435.16034,22.281322
0.01776,2.8251297,0.65812904,341.24313,435.0032,22.275406
0.01778,2.4435673,0.67153007,341.0858,434.8498,22.269457
0.0178,2.0491216,0.68139374,340.94522,434.89435,22.263498
0.01782,2.3202305,0.6735546,340.8275,434.9648,22.257545
0.01784,2.8149297,0.67513084,340.73346,434.83557,22.251566
0.01786,2.4055157,0.687353,340.66568,434.803,22.245544
0.01788,2.3772984,0.68100226,340.62692,434.8796,22.239548
0.0179,2.748564,0.6600287,340.6197,434.9352,22.23355
0.01792,3.1347823,0.6550032,340.65112,434.79214,22.227577
0.01794,2.771608,0.6648887,340.71924,434.72946,22.221615
0.01796,2.734114,0.66290045,340.8254,434.77222,22.215458
0.01798,2.8221848,0.6484248,340.971,434.85638,22.209978
0.018,3.1869307,0.6399082,341.15695,434.76276,22.204699
0.01802,2.9637737,0.6412758,341.38934,434.71002,22.19936
0.01804,2.8526046,0.63990974,341.6629,434.71967,22.193966
0.01806,0.38972273,0.6291411,341.97723,434.8563,22.188528
0.01808,0.17210451,0.6184208,342.3312,434.8055,22.182978
0.0181,-0.65376306,0.6122889,342.72336,434.8004,22.177355
0.01812,-1.1438695,0.59684414,343.1564,434.84705,22.17159
0.01814,0.0,0.5836102,343.62253,434.70035,22.165745
0.01816,-1.5830102,0.60178834,344.11914,434.63098,22.15988
0.01818,-2.10554,0.61431104,344.64227,434.6734,22.154026
0.0182,-1.884752,0.59734046,345.1879,434.79755,22.148209
0.01822,-1.5999538,0.5725428,345.75323,434.84967,22.142365
0.01824,-1.3212668,0.5520615,346.33002,434.8656,22.13635
0.01826,-1.2700219,0.5373095,346.91345,434.8369,22.130337
0.01828,-1.4316278,0.5250432,347.49734,434.85764,22.124237
0.0183,-1.3957398,0.5047953,348.07553,434.9647,22.118053
0.01832,-1.1995281,0.47372758,348.63907,435.00546,22.111847
0.01834,-1.108554,0.444891,349.18158,435.01022,22.105623
0.01836,-1.000523,0.42194954,349.69724,435.04153,22.099314
0.01838,-0.9227116,0.40756747,350.17865,435.07462,22.09298
0.0184,-0.8711821,0.39688233,350.61877,435.08948,22.086613
0.01842,-0.83735305,0.38963827,351.0034,435.10025,22.080282
0.01844,-1.003001,0.38565296,351.3305,435.1675,22.07392
0.01846,-1.0299067,0.37358096,351.5945,435.32028,22.067465
0.01848,-0.73303837,0.3494104,351.78867,435.3859,22.060915
0.0185,-0.6641959,0.33109048,351.90686,435.41272,22.054283
0.01852,-0.8161245,0.31877375,351.93164,435.5086,22.047617
0.01854,-0.69579196,0.30316997,351.8674,435.64737,22.040823
0.01856,-0.53098583,0.28636387,351.71008,435.69992,22.033995
0.01858,-0.44492978,0.27486214,351.45554,435.76868,22.027094
0.0186,-0.32630044,0.27339578,351.10013,435.83542,22.020138
0.01862,-0.5713217,0.2830945,350.62674,435.94946,22.013168
0.01864,-0.6595925,0.2835729,350.0464,436.1041,22.006199
0.01866,0.68503875,0.3046943,349.3577,435.93115,21.999777
0.01868,-0.67133635,0.38050687,348.56046,435.95377,21.993486
0.0187,1.5338473,0.4246634,347.65482,436.11975,21.987148
0.01872,-0.46460572,0.52357054,346.62738,435.9229,21.980747
0.01874,-0.11527721,0.62040097,345.4946,435.9054,21.974209
0.01876,-0.4755607,0.7150003,344.25818,436.01822,21.967731
0.01878,0.37903652,0.80173755,342.92236,435.9099,21.9613
0.0188,1.5566602,0.88310605,341.49124,435.92944,21.954824
0.01882,-0.29941726,0.980867,339.9582,435.86383,21.948248
0.01884,0.14130224,1.0437994,338.34207,435.9441,21.941557
0.01886,0.23211104,1.0718298,336.64728,436.0997,21.934845
0.01888,0.63555044,1.0612059,334.88187,436.1662,21.928167
0.0189,1.2103412,1.0423551,333.0531,436.10812,21.921509
0.01892,2.3172116,1.0458711,331.1623,435.87122,21.914923
0.01894,1.8906898,1.116859,329.22714,435.46326,21.908428
0.01896,0.52764195,1.2041302,327.2533,435.4025,21.901932
0.01898,0.38586432,1.227374,325.25107,435.62863,21.89536
0.019,2.2690623,1.2000692,323.22916,435.6466,21.888557
0.01902,2.9400237,1.2338003,321.1961,435.16766,21.881805
0.01904,1.2703346,1.3272847,319.1647,434.91385,21.875025
0.01906,0.581542,1.3628975,317.1403,435.15695,21.868172
0.01908,3.4543664,1.3575875,315.13287,434.8787,21.861305
0.0191,2.7736707,1.428195,313.1505,434.49854,21.854492
0.01912,1.642358,1.5106562,311.20624,434.34232,21.847681
0.01914,3.028726,1.5369939,309.30548,434.30408,21.840717
0.01916,3.5735836,1.5762744,307.45135,433.95502,21.833744
0.01918,3.430002,1.672869,305.6513,433.48715,21.826698
0.0192,1.9081326,1.7794353,303.91058,433.3566,21.819616
0.01922,2.4415278,1.852695,302.24277,433.06735,21.812534
0.01924,4.0138125,1.9174852,300.64523,432.68808,21.80545
0.01926,3.5547416,2.0187852,299.11746,432.31897,21.798292
0.01928,3.1170077,2.0927095,297.66263,432.16443,21.79107
0.0193,3.3739908,2.1103053,296.28174,431.986,21.783865
0.01932,3.5340111,2.120048,294.98477,431.69025,21.7767
0.01934,4.7753963,2.1200728,293.76233,431.29636,21.769356
0.01936,4.379609,2.1348865,292.6099,430.8667,21.761923
0.01938,4.2161627,2.119234,291.52567,430.63986,21.754526
0.0194,5.7041445,2.0787394,290.50613,430.2977,21.747213
0.01942,5.0755754,2.0528162,289.5542,430.06894,21.739864
0.01944,5.242136,2.0338125,288.6571,429.59854,21.732512
0.01946,4.957725,2.0122454,287.80673,429.30273,21.725094
0.01948,4.6265807,1.9668416,286.99713,429.213,21.717726
0.0195,6.1657343,1.9226042,286.22098,428.68094,21.710306
0.01952,5.438223,1.938194,285.47266,428.16953,21.702833
0.01954,4.472124,1.9424274,284.74026,428.0036,21.695196
0.01956,1.9883816,1.8839592,284.01364,428.0728,21.687782
0.01958,3.5175142,1.8152246,283.28436,427.64444,21.680347
0.0196,2.2150786,1.8236237,282.54324,427.1149,21.672901
0.01962,0.7090008,1.8261911,281.77695,427.00046,21.665512
0.01964,-0.35271436,1.7680804,280.97842,427.04462,21.658165
0.01966,1.2398899,1.6859233,280.13742,426.74036,21.65082
0.01968,0.14833368,1.6794668,279.2457,426.24203,21.643415
0.0197,-1.320363,1.6768557,278.2946,426.07477,21.635983
0.01972,-2.438607,1.6193558,277.26572,426.11777,21.628572
0.01974,-1.0565848,1.5373863,276.1598,425.91574,21.62116
0.01976,-1.788699,1.5282753,274.96857,425.4485,21.613832
0.01978,-2.6211443,1.5372583,273.68637,425.24887,21.606512
0.0198,-2.9061055,1.5026882,272.3074,425.2963,21.599176
0.01982,-0.97744536,1.4368889,270.8123,425.17184,21.591686
0.01984,-0.7985619,1.4339564,269.21045,424.793,21.584242
0.01986,-1.3350497,1.4793389,267.49695,424.483,21.57681
0.01988,-2.8495421,1.5120851,265.6707,424.5026,21.569298
0.0199,-1.7229621,1.4661567,263.73013,424.61478,21.561716
0.01992,-0.62809265,1.4280379,261.65927,424.39493,21.55419
0.01994,-1.6063706,1.4383142,259.4748,424.11,21.54671
0.01996,-1.4988059,1.439214,257.17563,424.08664,21.539223
0.01998,-1.2609118,1.4276203,254.76584,423.9634,21.531662
0.02,-0.73104674,1.4240546,252.24857,423.8032,21.524036
0.02002,-1.4572018,1.4404222,249.61453,423.641,21.516375
0.02004,-1.6181709,1.4338262,246.8844,423.69928,21.508688
0.02006,-1.3569385,1.3934342,244.06033,423.6901,21.50084
0.02008,-0.7768443,1.338726,241.15088,423.5944,21.492933
0.0201,-0.45192447,1.3033245,238.16296,423.46097,21.48503
0.02012,-0.7725216,1.2931505,235.09558,423.40344,21.47721
0.02014,-0.8605989,1.2790221,231.96906,423.35947,21.469398
0.02016,-0.74797815,1.2534118,228.78735,423.3062,21.461655
0.02018,-0.71012586,1.2209955,225.5616,423.31064,21.45399
0.0202,0.22026978,1.1995896,222.3006,423.25485,21.446335
0.02022,-0.48751652,1.2121788,219.01097,423.17175,21.438723
0.02024,-0.87762153,1.2036302,215.70865,423.21152,21.431091
0.02026,-0.5688501,1.1552411,212.39728,423.32758,21.423456
0.02028,0.25254458,1.090429,209.08818,423.36652,21.415836
0.0203,0.32482997,1.0485022,205.7897,423.32587,21.408308
0.02032,0.31516325,1.0241303,202.5134,423.29175,21.400803
0.02034,0.012945208,0.9996068,199.26797,423.34378,21.393303
0.02036,0.5227476,0.9573236,196.0549,423.40598,21.385841
0.02038,0.6995372,0.92135227,192.88322,423.44785,21.378458
0.0204,0.6806282,0.89392734,189.75873,423.48795,21.371147
0.02042,0.88321507,0.8633115,186.69406,423.5345,21.363867
0.02044,1.2115655,0.83403695,183.68993,423.58618,21.35666
0.02046,1.2839918,0.8154066,180.74426,423.63284,21.349352
0.02048,1.1016678,0.7976256,177.8622,423.71622,21.341942
0.0205,1.4627917,0.7639889,175.04555,423.80667,21.334589
0.02052,1.8549068,0.73036194,172.30423,423.88812,21.32725
0.02054,1.5504241,0.69976497,169.63222,424.01395,21.31985
0.02056,2.0864472,0.65151024,167.0237,424.11053,21.312532
0.02058,2.8274415,0.6169277,164.47926,424.1534,21.305351
0.0206,2.716207,0.6201654,161.99663,424.19717,21.298168
0.02062,2.4742148,0.63428605,159.5801,424.28983,21.290922
0.02064,2.6848967,0.6345665,157.21996,424.3911,21.28366
0.02066,2.843259,0.6224289,154.90736,424.52582,21.276419
0.02068,3.066241,0.5965565,152.63922,424.69028,21.269165
0.0207,3.6731346,0.56421417,150.41002,424.77066,21.261978
0.02072,4.2653894,0.5544413,148.21736,424.7843,21.254833
0.02074,3.9199202,0.5755055,146.05186,424.8908,21.247791
0.02076,3.6155596,0.58794594,143.90306,425.087,21.240862
0.02078,4.0602045,0.56568366,141.76596,425.22678,21.233988
0.0208,4.8206596,0.53499854,139.63371,425.3023,21.227194
0.02082,5.1577754,0.5281081,137.49818,425.3994,21.220528
0.02084,4.9216,0.53836316,135.3538,425.5393,21.213957
0.02086,5.0301123,0.5341286,133.19049,425.6773,21.2075
0.02088,5.433032,0.51331306,131.00359,425.80173,21.201113
0.0209,5.829939,0.49423304,128.78699,425.95697,21.194843
0.02092,6.076641,0.48997864,126.52953,426.04813,21.188675
0.02094,5.78593,0.506236,124.23173,426.14398,21.182547
0.02096,5.5651093,0.5224491,121.88552,426.28714,21.17649
0.02098,3.7468805,0.52489215,119.4887,426.54785,21.170553
0.021,3.5884235,0.5108642,117.03778,426.73175,21.16465
0.02102,3.326161,0.5017693,114.52199,426.86838,21.15892
0.02104,2.9020581,0.50554353,111.94831,426.9838,21.153315
0.02106,2.3642318,0.5154359,109.31177,427.15018,21.147863
0.02108,1.6163125,0.5176657,106.613884,427.36752,21.142506
0.0211,1.4818376,0.4998595,103.85477,427.5514,21.137236
0.02112,1.456526,0.48276216,101.02741,427.68454,21.131947
0.02114,1.1532602,0.48609582,98.1436,427.8232,21.126898
0.02116,0.35431042,0.50681394,95.20157,428.00314,21.121927
0.02118,-0.27748024,0.51683044,92.20672,428.18765,21.11707
0.0212,-0.5705178,0.5078037,89.162735,428.3768,21.112312
0.02122,-0.8148616,0.48503727,86.06846,428.5785,21.107697
0.02124,-0.67564577,0.46535426,82.93748,428.75946,21.103294
0.02126,-1.1941082,0.47237384,79.77043,428.89185,21.09908
0.02128,-1.893956,0.48716313,76.575615,429.05624,21.095022
0.0213,-2.256807,0.49355412,73.3591,429.24707,21.091166
0.02132,-2.5942214,0.49291667,70.126045,429.43753,21.087471
0.02134,-2.9053624,0.48045903,66.888336,429.60672,21.08395
0.02136,-3.1381311,0.46309808,63.647514,429.79547,21.080559
0.02138,-3.5404577,0.44846597,60.412937,429.98428,21.077248
0.0214,-3.7779927,0.42932096,57.191288,430.16272,21.074055
0.02142,-3.9821806,0.41213104,53.992622,430.31845,21.070936
0.02144,-4.5331388,0.40136895,50.82418,430.50522,21.06804
0.02146,-4.964184,0.38311392,47.686684,430.6978,21.065228
0.02148,-5.0682197,0.35636014,44.58847,430.8816,21.062536
0.0215,-5.2954264,0.33378404,41.534916,431.04074,21.060003
0.02152,-5.5789123,0.32133442,38.5382,431.23364,21.057673
0.02154,-6.167014,0.3119558,35.599346,431.40643,21.055504
0.02156,-6.291343,0.28936583,32.716866,431.59378,21.053465
0.02158,-6.2123957,0.25317493,29.896334,431.7776,21.051533
0.0216,-6.06411,0.21225725,27.140312,431.98602,21.049753
0.02162,-5.8904557,0.17547031,24.459808,432.19052,21.048096
0.02164,-4.7237144,0.15308192,21.849901,432.4424,21.046526
0.02166,-4.7464886,0.1403177,19.306171,432.62228,21.04504
0.02168,-4.397008,0.118115075,16.83052,432.82712,21.04379
0.0217,-3.9128888,0.09318182,14.422062,433.04407,21.0428
