w,g1,f1
104.39,18.109,-73.145
104.4,18.108,-73.141
104.4,18.107,-73.138
104.41,18.105,-73.135
104.42,18.104,-73.131
104.43,18.103,-73.128
104.43,18.101,-73.124
104.44,18.1,-73.121
104.45,18.099,-73.117
104.46,18.098,-73.114
104.46,18.096,-73.111
104.47,18.095,-73.107
104.48,18.094,-73.104
104.48,18.092,-73.1
104.49,18.091,-73.097
104.5,18.09,-73.093
104.51,18.088,-73.09
104.51,18.087,-73.086
104.52,18.086,-73.083
104.53,18.084,-73.08
104.53,18.083,-73.076
104.54,18.082,-73.073
104.55,18.081,-73.069
104.56,18.079,-73.066
104.56,18.078,-73.062
104.57,18.077,-73.059
104.58,18.075,-73.055
104.59,18.074,-73.052
104.59,18.073,-73.049
104.6,18.071,-73.045
104.61,18.07,-73.042
104.61,18.069,-73.038
104.62,18.067,-73.035
104.63,18.066,-73.031
104.64,18.065,-73.028
104.64,18.064,-73.025
104.65,18.062,-73.021
104.66,18.061,-73.018
104.66,18.06,-73.014
104.67,18.058,-73.011
104.68,18.057,-73.007
104.69,18.056,-73.004
104.69,18.054,-73
104.7,18.053,-72.997
104.71,18.052,-72.994
104.72,18.051,-72.99
104.72,18.049,-72.987
104.73,18.048,-72.983
104.74,18.047,-72.98
104.74,18.045,-72.976
104.75,18.044,-72.973
104.76,18.043,-72.969
104.77,18.041,-72.966
104.77,18.04,-72.963
104.78,18.039,-72.959
104.79,18.038,-72.956
104.79,18.036,-72.952
104.8,18.035,-72.949
104.81,18.034,-72.945
104.82,18.032,-72.942
104.82,18.031,-72.938
104.83,18.03,-72.935
104.84,18.028,-72.931
104.85,18.027,-72.928
104.85,18.026,-72.925
104.86,18.025,-72.921
104.87,18.023,-72.918
104.87,18.022,-72.914
104.88,18.021,-72.911
104.89,18.019,-72.907
104.9,18.018,-72.904
104.9,18.017,-72.9
104.91,18.016,-72.897
104.92,18.014,-72.894
104.93,18.013,-72.89
104.93,18.012,-72.887
104.94,18.01,-72.883
104.95,18.009,-72.88
104.95,18.008,-72.876
104.96,18.006,-72.873
104.97,18.005,-72.869
104.98,18.004,-72.866
104.98,18.003,-72.863
104.99,18.001,-72.859
105,18,-72.856
105.01,17.999,-72.852
105.01,17.997,-72.849
105.02,17.996,-72.845
105.03,17.995,-72.842
105.03,17.994,-72.838
105.04,17.992,-72.835
105.05,17.991,-72.831
105.06,17.99,-72.828
105.06,17.988,-72.825
105.07,17.987,-72.821
105.08,17.986,-72.818
105.08,17.984,-72.814
105.09,17.983,-72.811
105.1,17.982,-72.807
105.11,17.981,-72.804
105.11,17.979,-72.8
105.12,17.978,-72.797
105.13,17.977,-72.793
105.14,17.975,-72.79
105.14,17.974,-72.787
105.15,17.973,-72.783
105.16,17.972,-72.78
105.16,17.97,-72.776
105.17,17.969,-72.773
105.18,17.968,-72.769
105.19,17.966,-72.766
105.19,17.965,-72.762
105.2,17.964,-72.759
