w,g1,f1
103.71,18.177,-73.331
103.71,18.176,-73.328
103.72,18.175,-73.324
103.73,18.173,-73.321
103.74,18.172,-73.317
103.74,18.171,-73.314
103.75,18.169,-73.31
103.76,18.168,-73.307
103.76,18.167,-73.303
103.77,18.165,-73.3
103.78,18.164,-73.297
103.79,18.163,-73.293
103.79,18.162,-73.29
103.8,18.16,-73.286
103.81,18.159,-73.283
103.82,18.158,-73.279
103.82,18.156,-73.276
103.83,18.155,-73.273
103.84,18.154,-73.269
103.84,18.152,-73.266
103.85,18.151,-73.262
103.86,18.15,-73.259
103.87,18.148,-73.255
103.87,18.147,-73.252
103.88,18.146,-73.248
103.89,18.144,-73.245
103.89,18.143,-73.242
103.9,18.142,-73.238
103.91,18.141,-73.235
103.92,18.139,-73.231
103.92,18.138,-73.228
103.93,18.137,-73.224
103.94,18.135,-73.221
103.94,18.134,-73.217
103.95,18.133,-73.214
103.96,18.131,-73.211
103.97,18.13,-73.207
103.97,18.129,-73.204
103.98,18.127,-73.2
103.99,18.126,-73.197
103.99,18.125,-73.193
104,18.123,-73.19
104.01,18.122,-73.187
104.02,18.121,-73.183
104.02,18.12,-73.18
104.03,18.118,-73.176
104.04,18.117,-73.173
104.04,18.116,-73.169
104.05,18.114,-73.166
104.06,18.113,-73.162
104.07,18.112,-73.159
104.07,18.11,-73.156
104.08,18.109,-73.152
104.09,18.108,-73.149
104.1,18.106,-73.145
104.1,18.105,-73.142
104.11,18.104,-73.138
104.12,18.103,-73.135
104.12,18.101,-73.131
104.13,18.1,-73.128
104.14,18.099,-73.124
104.15,18.097,-73.121
104.15,18.096,-73.118
104.16,18.095,-73.114
104.17,18.093,-73.111
104.17,18.092,-73.107
104.18,18.091,-73.104
104.19,18.089,-73.1
104.2,18.088,-73.097
104.2,18.087,-73.093
104.21,18.086,-73.09
104.22,18.084,-73.087
104.22,18.083,-73.083
104.23,18.082,-73.08
104.24,18.08,-73.076
104.25,18.079,-73.073
104.25,18.078,-73.069
104.26,18.076,-73.066
104.27,18.075,-73.062
104.27,18.074,-73.059
104.28,18.072,-73.056
104.29,18.071,-73.052
104.3,18.07,-73.049
104.3,18.069,-73.045
104.31,18.067,-73.042
104.32,18.066,-73.038
